3D作品|3D works
ASMR|ASMR
TRPG|Tabletop Roleplaying Game
VTuber|VTuber
TRPG剧本|TRPG Scenarios
TRPG团录集|TRPG Replays
TRPG游戏规则|TRPG Rulebooks
脚|Legs
动画|Anime
阿黑颜|Ahegao/Gapeface
精选集|Anthology
疗育|Healing
淫语|Dirty Talk
致郁|Depression/Depressing
皆大欢喜|Totally Happy
触摸|Touch/Feel
臀部/屁股|Buttocks
胸部/奶子|Breasts
男主角|Male Protagonist
女主角|Female protagonist
感动|Emotional/Touching
技术书|Technical text
换装|Clothes Changing/Dress up
无立场转换|No reversal
健全|Wholesome
催眠音声|Hypnotic Speech
女性视角|Woman's Viewpoint
系列作|Serial Product
大量汁/液|Lots of White Cream/Juices
総集编|Compilation
平淡/轻松|Plain/Nonpersisting
剖面图|Crosssection View
穿衣|Clothed
走光|Chirarism (Peeping)
制作大师|RPG Maker
东方Project|Touhou Project
位图|Pixel
环绕音|Binaural
评论|Critique
性癖好|Fetish
狂热/变态|Abnormal/Perverted
萌|Moe
燃|Hot/Burning
连续高潮|Successive Orgasms
SM|SM
野战|Outdoor Sex
恶堕|Corrupted Morals
足交|Footjob
肛交|Anal
异种奸|Interspecies Sex
深喉咙|Forced Oral/Irrumatio
淫乱|Naughty/Lewd
オナサポ|Guided Masturbation
自慰|Masturbation
监禁|Captivity
颜射|Facial Cumshot
灌肠|Enema
机械奸|Machine Sex
鬼畜|Fiendish/Brutal
逆强奸|Reverse Rape
强制/强行|Coercion/Compulsion
近亲相奸|Incest
紧缚|Bondage
搔痒|Tickling
舔阴|Cunnilingus
男同志|Male Homosexuality
下克上|Gekokujo (the lower rules the higher)
拘束|Restraint
口爆|Oral Cumshot
吞精/精饮|Cum Swallowing
言语羞辱|Verbal Humiliation
催眠|Hypnosis
榨乳|Milking
耳语|Whispering
产卵|Egg Laying
潮吹|Squirting
兽奸|Bestiality
羞耻/耻辱|Shame/Humiliation
持续攻击|Clingy (Dominant)
生产|Childbirth
触手|Tentacles
使其焦急|Teasing
睡眠奸|Sleep Sex
粪尿|Scatology
拍打|Spanking
洗脑|Brainwashing
男性受|Submissive Man
痴汉|Molestation
虫奸|Insect Sex
调教|Sexual Training
手交|Handjob
偷拍/盗摄|Voyeur
奴隶|Slave
内射/中出|Internal Cumshot
尿道|Urethra
怀孕|Pregnancy/Impregnation
正常性爱|Vanilla Sex
乳交|Breast Sex
口交|Blowjob/Fellatio
多P/乱交|Group Sex/Orgy
外射|Bukkake
放置play|Erotic Sexual Denial
放尿/小便|Urination/Peeing
母乳|Breast Milk
舔耳|Ear Licking
雌堕|Femcorruption
群奸|Mob Sex
可攻可受|Vers
凌辱|Violation
轮奸|Gangbang
强奸|Rape
蕾丝/女同|Female Homosexuality
露出|Outdoor Exposure
通奸|Consensual Sex
尿布|Diaper
玩具|Toys
项圈/链子/束缚道具|Collar/Chain/Restraints
道具/异物|Foreign Objects
耳环/装饰品|Piercings/Accessories
鞭子/绳子/蜡烛|Whip/Rope/Candle
药物|Drugs
润滑液|Lotion
阴毛/腋毛|Pubic Hair/Armpit Hair
筋肉男|Stout and Sturdy
褐色肌肤/黝黑|Tanned Skin/Suntan
巨根|Large Cock
巨大化|Supersize
巨乳/爆乳|Big Breasts
肌肉|Muscular
金发|Blond hair
黑发|Black hair
兽耳|Beast ears
短发|Short Hair
处女|Virgin Female
苗条|Slender
短发|Short Hair (Male)
乳头/乳晕|Nipples/Areola
高挑身材|Tall Person
双马尾|Pigtails
童贞|Virgin Male
猫耳|Nekomimi
白虎/无阴毛|No Pubic Hair
贫乳/微乳|Tiny Breasts
复乳/怪乳/超乳|Multi/Monster/Mega Breasts
扶他|Futanari
稍胖|Chubby/Fat
包茎|Phimosis
方言|Dialect
大肚子/孕妇|Pregnant Woman
马尾|Ponytail
丰满|Voluptuous/Plump
无表情|Expressionless/Deadpan
长发|Long Hair
扩张|Stretch/Expansion
狂气|Madness
血液/流血|Blood/Bloodshed
拷问|Torture
人体改造|Body Modification
乳头交|Nipple Penetration
腹击|Gut Punch
拳交|Fisting/Fist Sex
猎奇|Bizarre/Eccentric
受虐|Ryona/Brutal
百合|yuri,
两女|yuri,
熟女|mature female,
公共|public,
束博|shackles,
拥抱而睡|cuddle,
异性|hetero,
乱伦|incest,
催眠|hypnosis,
恶堕|corruption, dark persona,
失禁|peeing,
哺乳|lactation,
单人|solo,
双性|futanari
触手|tentacles play
着衣sex|clothed sex,
相拥|hug,
法式吻|french kiss,
乳夹手|arm between breasts,
口交|oral, fellatio,
手淫|masturbation,
女性自慰|female masturbation,
着衣自慰|masturbation through clothes,
性感姿势|sexy pose
后入式|sex from behind, doggystyle,
猫猫姿势|paw pose, claw pose,
骑术|riding,
女牛仔姿势|cowgirl position,
传教士|missionary,
射精|ejaculation, cum string,
中出|  internal cumshot,Creampie
射在乳上|cum on breasts
射在身上|cum on body,
射在嘴里|cum in mouth,
射在舌上|cum on tongue,
射在衣上|cum on clothes,
射在发上|cum on hair
射在手上|cum on hands
射在小穴|cum on pussy
颜射|bukkake,
潮吹|squirting, female ejaculation,
舔鲍|cunnilingus,
舔|licking,
舔gg|licking penis, cunnilingus,
吞咽|swallowing,
脸上gg|penis on face,
陵辱|Violation
异种奸|Interspecies Sex
淫语|Dirty Talk
连続絶顶|Successive Orgasms
侧位|spooning
唾液|saliva,
精液|cum, semen,
流精|after sex, cumdrip, after vaginal, cum overflow
溢出|overflow,
口交后|after fellatio,
汗水|sweat,
润滑剂|antifriction,
滑液|synovia,
淫水|pussy juice, vaginal juice,
尿
运动线|motion lines,
内裤|panties
含精|Contains sperm
