丑|ugly,
孕妇|pregnant,
丸吞|vore,
重复|duplicate,
病态|morbid,
残缺|mutilated,
变性|tranny,trans,trannsexual,
双性|hermaphrodite,
不在框架中|out of frame,
多余的手指|extra fingers,
融合的手指|fused fingers,
太多的手指|poorly drawn hands,
长脖子|long neck,
变异的手|mutated hands,
画得不好的手|poorly drawn hands,
画得不好的脸|poorly drawn face,
突变|mutation,
变形|deformed,
模糊|blurry,
坏解剖|bad anatomy,
坏比例|bad proportions,
畸形的四肢|malformed limbs,
额外四肢|extra limbs,
克隆脸|cloned face,
毁容|disfigured,
超过2个乳头|more than 2 nipples,
大体比例|gross proportions,
失踪的手臂|missing arms,
失踪的腿|missing legs,
多余的手臂|extra arms,
额外的腿|extra legs,
