mammal|哺乳动物,5
anthro|人类,0
hi_res|高分辨率,7
female|女性,0
male|男性,0
solo|独奏,0
genitals|生殖器,0
clothing|衣服,0
breasts|乳房,0
hair|头发,0
fur|毛皮,0
duo|双人组,0
penis|阴茎,0
bodily_fluids|体液,0
canid|犬科动物,5
nude|裸体,0
canine|犬类,5
simple_background|简单背景,0
nipples|乳头,0
digital_media_(artwork)|数字媒体_（艺术品）,7
video_games|视频游戏,0
clothed|穿着,0
text|文本,0
genital_fluids|生殖器液体,0
sex|性别,0
balls|球,0
smile|微笑,0
blush|脸红,0
erection|勃起,0
butt|屁股,0
open_mouth|张开嘴,0
pussy|猫,0
looking_at_viewer|正在看的观众,0
absurd_res|荒谬的,7
tongue|舌头,0
penetration|渗透,0
big_breasts|大胸,0
english_text|英文文本,7
cum|暨,0
felid|猫科动物,5
nintendo|任天堂,3
canis|犬类,5
horn|喇叭,0
male/female|男/女,0
feral|野性,0
white_body|白体,0
penile|阴茎,0
male_penetrating|男性穿透,0
tongue_out|伸出舌头,0
anus|肛门,0
feet|脚,0
blue_eyes|蓝眼睛,0
claws|爪子,0
pokemon|宠物小精灵,3
pokemon_(species)|宠物小精灵_（物种）,5
teeth|牙齿,0
white_fur|white_fur,0
equid|平等,5
male/male|男/男,0
animal_genitalia|动物生殖器,0
biped|两足动物,0
equine|马,5
humanoid_genitalia|humanoid_genitalia,0
group|团体,0
scalie|鳞片,5
topwear|上衣,0
fingers|手指,0
humanoid|人形,5
standing|常设,0
humanoid_penis|humanoid_penis,0
dialogue|对话,0
monochrome|单色,7
wings|翅膀,0
navel|脐,0
anal|肛门,0
vaginal|阴道,0
muscular|肌肉发达,0
hasbro|孩之宝,3
feline|猫科动物,5
cum_inside|cum_inside,0
my_little_pony|我的小马驹,3
lying|说谎,0
toes|脚趾,0
human|人类,5
fox|狐狸,5
tuft|簇绒,0
white_background|白色背景,0
brown_body|brown_body,0
thick_thighs|厚大腿,0
1:01|1:01,7
piercing|冲孔,0
eyes_closed|闭眼,0
spreading|传播,0
underwear|内衣,0
dragon|龙,5
areola|乳晕,0
bottomwear|下装,0
anal_penetration|anal_penetration,0
domestic_dog|家养狗,5
animal_penis|动物阴茎,0
green_eyes|绿眼睛,0
female_penetrated|女性渗透,0
interspecies|种间,0
<3|<3,0
blue_body|蓝体,0
